Timestamp,WereYouEligibleToApplyForAnAugust2021St3Post,WhatIsYourAge,WhatIsYourSex,WhichRegionAreYouCurrentlyWorkingIn,WhatIsYourCurrentRole,HowManyYearsOfClinicalExperienceInAnaesthesiaWouldYouHaveCompletedByAugust2021,WhatIsYourCurrentContractedWorkingPattern,DidYouApplyForAnSt3AnaestheticsPostToCommenceInAugust2021,WereYouSuccessfulWithYourSt3ApplicationInThisApplicationRound,HaveYouAcceptedAnSt3AnaestheticsPostToCommenceInAugust2021,IfNotPleaseTellUsWhy,WhatWasYourReasonForNotApplying,AtTheTimeOfSt3ApplicationWereYouAwareOfThePlannedBreakInRecruitmentFromAugust2022,DidYouFeelTheEffectsOfCurriculumChangesOnRecruitmentWereWellExplainedToYouPriorToTheSt3ApplicationDeadline,WouldMoreInformationRegardingChangesToTheCurriculumAndRecruitmentHaveChangedYourDecisionNotToApply,WhatAreYourPotentialPlansForTheUpcoming1_2YearsSelectAllThatApply,DoYouFeelConfidentOrAssuredThatYouWillBeAbleToAchieveTheNecessaryCompetenciesToApplyForSt4InAugust2023,HasTheTimeOutOfATrainingProgrammeAffectedAnyOfYourWiderLifePlansEGMovingLocationFamilyPlanningBuyingAHouse,HowConfidentAreYouThatYouWillBeAbleToAchieveGmcRegistrationOnTheSpecialtyRegisterInAnaesthesiaWithoutATrainingNumber,WhatGeneralConcernsWouldYouLikeToShareWithUsRegardingThisYearsSt3ApplicationsIfThereAreSpecificPersonalCircumstancesYouAreHappyToShareWithTheRelevantStakeholdersPleaseFeelFreeToContributeThemHereWeMayPublishSomeOfTheseAsAnonymisedQuotesToConveyTheDepthOfFeelingAroundThisIssue,ID
2021-05-20T14:47:28Z,Yes,25-30,Female,Health Education South West (Peninsula & Severn),Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,CT3 top-up post,No,Yes,Not confident,"After the year we have had, and the impact on our training, this has been devastating. I don't understand why there are not enough jobs, especially when there are so many rota gaps. It is a disgrace that I have had to competitively apply for a post that will be a top up year, while also trying to sit my FRCA. I was accepted into a core training programme. I should be trained until I am eligible to apply for the next stage of training.",58
2021-05-20T14:47:39Z,Yes,25-30,Male,Health Education East Midlands,"Non-training Fellow, SAS or other Trust-Grade post",4,LTFT,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Further education, e.g. pursue a higher degree, Work abroad, Career break",Yes,Yes,Not sure,NA,59
2021-05-20T14:48:07Z,Yes,31-35,Female,Health Education East of England,"Non-training Fellow, SAS or other Trust-Grade post",2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Yes,No,Not confident,NA,60
2021-05-20T14:48:27Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
2021-05-20T14:48:27Z,Yes,25-30,Male,Health Education and Improvement Wales,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Work abroad,Don't know,No,Not confident,"More effort should have been made to anticipate the huge increase in applicants because of the College's decision to press on with the updated curriculum and plan accordingly e.g. secure additional posts for ST3 Applicants. Communication regarding the use of the online portfolio evidence system was poor. The application portal itself could have been better designed - e.g. A CV was supposed to be uploaded in the Undergrads Degrees section, despite this not actually being evidence of any undergraduate degrees, and candidates were marked down for not uploading a CV here. 
Given the impact of covid on existing rotas, which in my personal experience are often understaffed, plus the anticipated large backlog of elective surgery that must be addressed, I feel the college and Health Education authorities should have done more to secure additional places for ST3 applicants. 
Overall the experience has contributed to my disillusionment with the NHS and the medical training careers system as a whole, made my and my colleagues skills and experience feel unappreciated, and further validated my personal decision to seek further work abroad.",62
2021-05-20T14:53:47Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"My partner was eligible for ST3 applications but has been so demoralised by the process over the last few rounds that he does not want to go back into training. However, as there are so many people in the same situation, the competition for clinical fellow jobs is similarly high, so he is effectively shut out of a profession he loves. The process is so impersonal and dependent on factors that have little impact on his ability to do his job - where is the space for the anaesthetist that eventually wants to work in a DGH, be clinically good, train up future consultants and have a good work-life balance? There is nothing there that requires someone with multiple publications, a PGCert in medical education and presented at an international conference - but this appears to be what is required to have a chance of a job.",63
2021-05-20T14:55:40Z,Yes,25-30,Male,Health Education East Midlands,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,NA,64
2021-05-20T14:56:17Z,Yes,25-30,Female,NHS Education for Scotland,Anaesthetic Core Trainee,3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,I was fortunate to be appointed to my first choice ST3 anaesthetics but feel for friends and colleagues who have not been successful and where there is no guaranteed plan in place for top-up posts to allow them to be eligible to apply for ST4 in 2023.,65
2021-05-20T14:56:45Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I know multiple fab trainees who didn't even qualify for interview. Absolute shambles. It's insane that having the full primary doesn't get you any marks whilst having PACES does! How does that reward dedication to specialty? Also will have a significant impact on those who took up an icm number anticipating getting their anaesthetic ntn and dual training and may end up trapped as a single cct.,66
2021-05-20T14:57:46Z,Yes,31-35,Female,Health Education Yorkshire and the Humber,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Yes,Yes,Not confident,"In my area there are a lot of rota gaps but the ST3 jobs were cut proportionally more so than any other region. I personally scored high enough to traditionally get a job in any area but due the cuts did not get a job in my chosen region, which is typically not a highly competitive area. I strongly feel that the royal college has let this cohort of trainees down. Having worked hard taking the majority of the extra work load caused by covid in our hospital, was this the most appropriate time to cut job and impose an 18month recruitment freeze? I was at several online discussion forums held by the royal college where this concern fell on deaf ears and the difficulties the college are putting a large group of trainees was not even acknowledged. My area has lost numerous trainees, as a direct result of the current recruitment issues, to other specialties and overseas training. In a time when the royal college has issued statements stating they are committed to increasing the number of anaesthetists this whole situation seems ludicrous. There has also been a lot of work produced regarding trainee well fare but the colleges actions are having a large negative impact.",67
2021-05-20T14:58:04Z,Yes,25-30,Male,Health Education South West (Peninsula & Severn),"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Don't know,Yes,Not confident,"Broadly speaking I think a lot of trainees feel let down by the college. Training has been disrupted for a number of us and we have had to adapt and slot in to different rotas to help cope with the pressures of the last 12 months. To be faced with the uncertainty of a curriculum change, reduced opportunities to work abroad, increased competition numbers has been difficult. There is no clear strategy to reduce the backlog of trainees who are appointable but are now stuck in limbo. I am concerned that the longer this continues the greater the risk of good trainees dropping out of training - a huge waste of resources.",68
2021-05-20T14:58:28Z,Yes,31-35,Male,NHS Education for Scotland,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,"Lack of available posts, unclear instruction from the college re 'top up posts', ad-hoc and piecemeal placements advertised from regions/trusts. Potentially having to move home again to pursue career, for 3rd time in as many years with no certainty or security going beyond a year at a time. Stress on personal relationships. Feels like being given a choice between personal life and goals or continued profession/specialty.",69
2021-05-20T14:59:17Z,Yes,25-30,Male,Health Education North West (Mersey & North Western),Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,"Trainees forecast the problem but no steps were taken to address this; no coherent national plan for CT3 posts; pig-headed approach to pushing though the new curriculum against an overly tight timescale (contributing to previous points); defence of the new curriculum being it will make trainees lives easier, reduce stress and improve progression with no hint of irony that it is causing the opposite for those of us stuck in the gap. Personally, I won't buy a house until I have a reg job. My current landlord wants to move back in to my rented property so I am currently unemployed from August, and will be homeless from September, and I can't fix the home problem til I fix the job problem. This is a really small point, but we keep being referred to as 'unsuccessful' or 'not in training' with there being no explanation that that is not our fault. I have been successful - Primary FRCA MCQ passed, sitting OSCE/SOE for first time this week, all of core curriculum covered, audit completed etc. I was appointable. They didn't have a job for me. There's a difference.",70
2021-05-20T15:00:21Z,Yes,25-30,Male,Health Education West Midlands,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"Non-training fellow post, Career break",Don't know,Yes,Not confident,NA,71
2021-05-20T15:02:06Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I applied  and was successful in being appointed to a training position to start in Feb 2021. I was shocked and appauled by the lack of professionalism with regards to how the Anaesthetics National Recruitment Office handled the recruitment rounds for August 2020 entry and also for Feb 2021 entry. 

My particular concerns were the lack of engagment with applicants from the ANRO - delay in answering questions and use of an incredibly unfair scoring system for the August 2020 entry. This was followed by a policy of repeating the same uncommunicative response when the unfair scoring was pointed out and refusal of acceptance of any subsequent evidence. This had a profound impact on the situation of my wife and I especially since at the following round the fact that I was able to upload sufficient evidence lead to me gaining a position only 6 months later.

For the Feb 2021 entry uploading of evidence was fraught with problems with the platform crashing when attempting to upload things. The interview was also very short and I don't know how the interviewers were able to reasonably assess my competencies in such a short time period.

The problems which have continued in recruitment have been related to the review of the curriculum causing widespread panic amongst training and staff grade anaesthetists looking to get into training.",72
2021-05-20T15:02:18Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I am not a trainee. I am a programme director for core trainees and have seen many excellent trainees left jobless. They are mostly going to take up Trust Fellow posts with the aim to complete the CT3 equivalence year. According to guidance from BMA/AAGBI/RCOA these posts should be met with the same support, such as study leave, as full training posts. This pushes the cost of training onto Trusts, and also pushes a lot of unfunded trainer time in organising essentially an additional training programme. This is particularly true considering that these trainees are likely to continue working in this capacity for a couple of years until Stage 2 posts become available. There will obviously be an incredible bottleneck at that stage for jobs many will look to pursue the CESR route, if we are lucky enough to retain them in our specialty. This seems such a great shame considering we are projecting a workforce crisis, and unfilled consultant posts around the country. We desperately need more training posts in the UK to meet our workforce needs and hopefully we will not lose a generation of exceptional young doctors keen to work with us through this debacle.",73
2021-05-20T15:02:18Z,Yes,36-40,Male,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Admission heavily favour those who have taken extra fellow years or pre anaesthetic medicine etc, putting the dedicated hard working core trainee at a disadvantage",74
2021-05-20T15:04:58Z,Yes,25-30,Male,Health Education North West (Mersey & North Western),Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,No,NA,NA,NA,Awareness of increased competition ratios and/or reduced CV opportunities during COVID,Yes,No,Not sure,"CT3 top-up post, Non-training fellow post",Don't know,Yes,Not confident,"It's utterly infuriating. What is the point in training people to ct2 level if there are not enough st3 jobs? I am absolutely not prepared to move across the country for the next stage of my training (given house ownership, partner's medical speciality training, childcare etc) and so I would not be surprised if I end up changing careers, despite Anaesthesia being the career I love and have already committed numerous years to my anaesthetic training. The ""flip-flop"" of ""will they/won't they?"" with the introduction of new curriculum was handled appallingly with little to no communication from the top - again affecting life plans, job plans, and long term family plans for anaesthetists in training and their families. It is a matter of huge concern and stress. There is a feeling amongst core trainees that our working life, and its effects on us, is going to get a lot harder now that essentially no-one from our cohort has got an st3 job, and we are all likely to be out of training posts for at least 18 months. It is galling.",75
2021-05-20T15:06:27Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
2021-05-20T15:11:30Z,Yes,25-30,Male,Health Education Yorkshire and the Humber,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Don't know,Yes,Not sure,Lack of posts. Lack of prior information regarding plans for recruitment over next few years,77
